"Latitude","Longitude","FIPS_block","FIPS_county","FIPS_state","STname","API_status"
41.4454298,-74.4217877,"360710151001017","36071","36","NY","OK"
47.7441979,-122.6552149,"530350905011001","53035","53","WA","OK"
40.8792148,-79.8948301,"420199029001063","42019","42","PA","OK"
38.4753513,-77.9947475,"510479303002017","51047","51","VA","OK"
44.7545126,-108.7493564,"560299652001056","56029","56","WY","OK"
33.43984,-117.617333,"060590421131004","06059","06","CA","OK"
30.539888,-84.5518618,"120390207022039","12039","12","FL","OK"
26.6650517,-80.0951925,"120990038002009","12099","12","FL","OK"
35.2003107,-89.9043715,"471570205422013","47157","47","TN","OK"
33.7552908,-84.2770562,"130890229003023","13089","13","GA","OK"
41.948883,-88.003345,"170438401041008","17043","17","IL","OK"
41.7514074,-87.5762742,"170314605007004","17031","17","IL","OK"
35.8929376,-78.7300652,"371830537241022","37183","37","NC","OK"
29.8109147,-95.4103247,"482015115006005","48201","48","TX","OK"
30.2855728,-81.5323826,"120310144011005","12031","12","FL","OK"
21.3985514,-158.1545409,"150030096082016","15003","15","HI","OK"
37.663624,-97.335871,"201730032003031","20173","20","KS","OK"
27.7520726,-97.4344706,"483550018011009","48355","48","TX","OK"
38.6598808,-121.7741348,"061130112042013","06113","06","CA","OK"
28.1366445,-80.5881799,"120090663012005","12009","12","FL","OK"
26.2205488,-80.1030386,"120110309022003","12011","12","FL","OK"
41.7585283,-86.250934,"181410113031001","18141","18","IN","OK"
32.7326989,-96.6565093,"481130118003005","48113","48","TX","OK"
33.4568451,-111.9138912,"040132182002003","04013","04","AZ","OK"
39.1287225,-121.6184383,"061010502024016","06101","06","CA","OK"
42.6581426,-84.071773,"260937223001022","26093","26","MI","OK"
40.8240437,-73.9447676,"360610227002000","36061","36","NY","OK"
21.9298829,-159.4833542,"150070406043013","15007","15","HI","OK"
42.3399056,-87.8996142,"170978615043031","17097","17","IL","OK"
33.9372606,-117.4566725,"060650412032000","06065","06","CA","OK"
34.0616361,-118.2795718,"060372088022000","06037","06","CA","OK"
33.7677452,-118.1987438,"060375760012024","06037","06","CA","OK"
30.041037,-81.922835,"120190301023054","12019","12","FL","OK"
30.102805,-90.9879593,"220050310003032","22005","22","LA","OK"
41.429786,-96.492678,"310539642003049","31053","31","NE","OK"
