"fips","ur.code","division","tot.pop","latino","white","black","amind","api","d.black","d.api","d.white","d.latino","d.mid","d.amind","d.na","d.total"
5081,"4: small metro","West South Central",12720,397,9333,2632,147,0,0,0,0,0,0,0,0,0
5083,"6: noncore","West South Central",22001,561,20156,407,203,437,0,0,0,0,0,0,0,0
5085,"3: medium metro","West South Central",70691,2722,61524,4302,372,549,0,0,3,0,0,0,0,3
5087,"3: medium metro","West South Central",15702,824,14273,73,75,97,0,0,0,0,0,0,0,0
5089,"6: noncore","West South Central",16458,369,15597,42,109,118,0,0,1,0,0,0,0,1
5091,"4: small metro","West South Central",43652,1297,30467,10877,211,50,0,0,0,0,0,0,0,0
5093,"5: micropolitan","West South Central",44864,1720,26759,15543,49,142,1,0,0,0,0,0,1,2
5095,"6: noncore","West South Central",7713,163,4252,3138,12,42,0,0,0,0,0,0,0,0
5097,"6: noncore","West South Central",9197,339,8451,68,119,61,0,0,1,0,0,0,0,1
5099,"6: noncore","West South Central",8793,282,5639,2705,29,113,0,0,0,0,0,0,0,0
5101,"5: micropolitan","West South Central",8052,85,7600,0,111,37,0,0,0,0,0,0,0,0
5103,"5: micropolitan","West South Central",25044,491,13950,10064,52,39,0,0,0,0,0,0,0,0
5105,"3: medium metro","West South Central",10300,282,9547,214,34,9,0,0,1,0,0,0,0,1
5107,"5: micropolitan","West South Central",20391,321,7178,12545,24,24,0,0,0,0,0,0,0,0
5109,"6: noncore","West South Central",11087,726,9727,348,17,55,0,0,0,0,0,0,0,0
5111,"4: small metro","West South Central",24210,630,21279,2002,39,7,0,0,0,0,0,0,0,0
5113,"6: noncore","West South Central",20364,1277,18070,42,219,87,0,0,1,0,0,0,0,1
5115,"5: micropolitan","West South Central",62830,4919,53712,1989,364,452,0,0,2,0,0,0,0,2
5117,"6: noncore","West South Central",8402,93,7175,1035,34,10,1,0,0,0,0,0,0,1
5119,"3: medium metro","West South Central",390463,23080,211679,139401,1079,8291,7,0,8,0,0,0,2,17
5121,"6: noncore","West South Central",17695,317,16894,123,48,6,0,0,1,0,0,0,0,1
5123,"5: micropolitan","West South Central",27345,1200,11273,14185,100,92,2,0,1,0,0,0,0,3
5125,"3: medium metro","West South Central",113833,4631,99189,6639,364,1145,0,0,6,0,0,0,1,7
5127,"6: noncore","West South Central",10870,814,9174,18,176,311,0,0,0,0,0,0,0,0
5129,"6: noncore","West South Central",7965,155,7492,22,85,87,0,0,1,0,0,0,0,1
5131,"3: medium metro","West South Central",127273,16772,90829,8000,1740,5709,0,0,1,0,0,0,0,1
5133,"6: noncore","West South Central",17268,5558,10239,841,334,95,0,0,0,0,0,0,0,0
5135,"6: noncore","West South Central",17055,334,16040,69,143,113,0,0,0,0,0,0,0,0
5137,"6: noncore","West South Central",12512,213,11922,5,26,30,0,0,0,0,0,0,0,0
5139,"5: micropolitan","West South Central",40633,1466,24984,13323,231,226,1,0,0,0,0,0,0,1
5141,"6: noncore","West South Central",17002,497,15922,151,65,29,0,0,0,0,0,0,0,0
5143,"3: medium metro","West South Central",216432,34732,156896,7185,2250,10008,2,0,3,0,0,0,0,5
5145,"5: micropolitan","West South Central",78660,3209,69701,3611,124,457,0,0,1,0,0,0,0,1
5147,"6: noncore","West South Central",6983,32,4854,1869,6,83,0,0,0,0,0,0,0,0
5149,"5: micropolitan","West South Central",21835,4146,16594,596,126,327,0,0,0,0,0,0,0,0
6001,"1: large central metro","Pacific",1584983,358168,522707,184883,9813,452815,26,4,10,14,0,0,8,62
6003,"6: noncore","Pacific",1131,108,725,11,219,30,0,0,0,0,0,0,0,0
6005,"6: noncore","Pacific",36995,4784,29496,855,829,576,0,0,0,0,0,0,0,0
6007,"4: small metro","Pacific",222564,33800,164214,3189,2553,9996,1,1,7,1,0,0,1,11
6009,"6: noncore","Pacific",44767,4967,36951,261,396,553,0,0,0,0,0,0,0,0
6011,"6: noncore","Pacific",21396,12277,8017,151,231,458,0,0,0,0,0,0,0,0
6013,"2: large fringe metro","Pacific",1096068,273350,503815,97338,6059,172763,4,1,6,3,0,1,2,17
6015,"5: micropolitan","Pacific",27788,5300,17582,802,1484,679,0,0,0,0,0,0,0,0
6017,"2: large fringe metro","Pacific",182093,22719,143804,1786,1565,7433,1,0,2,0,0,0,0,3
6019,"3: medium metro","Pacific",956749,494077,298219,48499,9796,95509,5,3,7,14,0,1,5,35
6021,"6: noncore","Pacific",28029,11094,15065,271,548,794,0,0,1,0,0,0,0,1
6023,"5: micropolitan","Pacific",135034,14289,102235,1716,6956,3987,0,0,6,0,0,1,0,7
6025,"4: small metro","Pacific",178206,145855,22437,5172,2284,2934,1,0,0,5,0,0,1,7
6027,"6: noncore","Pacific",18373,3778,11906,196,1964,362,0,0,1,0,0,0,0,1
6029,"3: medium metro","Pacific",865736,441496,317048,49021,10086,40864,2,1,18,22,0,1,1,45
6031,"4: small metro","Pacific",150998,79452,51467,9397,1993,5984,0,0,2,2,0,1,1,6
6033,"5: micropolitan","Pacific",64158,11899,46554,1442,2436,1028,0,0,2,1,0,0,0,3
6035,"5: micropolitan","Pacific",32645,5986,21526,2789,1025,742,0,0,0,0,0,0,0,0
6037,"1: large central metro","Pacific",10038388,4842319,2703547,830791,59340,1445438,60,13,47,128,1,0,36,285
6039,"4: small metro","Pacific",153187,85245,55593,5313,2325,3515,0,0,1,0,0,0,0,1
6041,"2: large fringe metro","Pacific",258349,40875,185975,6583,795,15303,0,1,0,0,0,0,0,1
6043,"6: noncore","Pacific",17789,1803,14539,192,572,256,0,0,0,0,0,0,0,0
6045,"5: micropolitan","Pacific",87544,20693,58376,585,4018,1893,0,0,2,0,0,0,0,2
6047,"3: medium metro","Pacific",263885,150222,78992,9020,1787,20450,0,1,2,7,1,0,2,13
6049,"6: noncore","Pacific",9184,1345,7149,47,330,103,0,0,0,0,0,0,0,0
6051,"6: noncore","Pacific",14146,3862,9405,78,254,157,0,0,1,0,0,0,0,1
6053,"3: medium metro","Pacific",428441,243894,135021,11947,3302,28176,0,0,6,9,0,0,2,17
6055,"4: small metro","Pacific",140295,46689,76016,2944,987,11105,1,0,3,1,0,0,0,5
6057,"5: micropolitan","Pacific",98570,8902,84497,481,1106,1501,0,0,4,0,0,0,0,4
6059,"1: large central metro","Pacific",3116069,1064499,1320050,51816,12476,599871,5,3,25,20,0,1,5,59
6061,"2: large fringe metro","Pacific",366280,49158,272814,5183,1982,24993,1,0,3,0,0,0,2,6
6063,"6: noncore","Pacific",18966,1574,15993,124,407,345,0,0,1,0,0,0,0,1
6065,"1: large central metro","Pacific",2298032,1079778,867646,143976,21535,148737,9,0,17,23,0,1,16,66
6067,"1: large central metro","Pacific",1465832,326742,686399,145959,11633,235633,5,0,13,13,0,0,8,39
6069,"2: large fringe metro","Pacific",57557,33307,21092,449,430,1605,0,0,1,0,0,0,0,1
6071,"2: large fringe metro","Pacific",2094769,1070262,652920,179087,17846,147049,5,1,28,24,2,0,9,69
6073,"1: large central metro","Pacific",3223096,1060995,1515316,163276,21237,383350,5,5,20,20,0,0,8,58
6075,"1: large central metro","Pacific",840763,128619,346732,46825,2854,288075,7,1,7,7,0,0,5,27
6077,"3: medium metro","Pacific",708554,284168,243086,50263,4652,108630,4,3,10,11,0,1,5,34
6079,"3: medium metro","Pacific",276517,60181,192918,5682,2005,10411,0,0,0,1,0,0,0,1
6081,"2: large fringe metro","Pacific",748731,189389,305166,19439,2129,209365,0,1,0,2,0,0,4,7
6083,"3: medium metro","Pacific",435850,192304,201998,8727,4122,23323,0,0,3,7,0,0,0,10
6085,"1: large central metro","Pacific",1868149,497074,627328,48310,8961,637867,2,0,12,16,0,0,4,34
6087,"3: medium metro","Pacific",269278,88602,157042,2535,1572,12194,0,1,4,1,0,0,0,6
6089,"4: small metro","Pacific",178942,16384,145248,1788,4654,5124,1,0,11,0,0,1,0,13
6091,"6: noncore","Pacific",3021,268,2658,3,26,15,0,0,0,0,0,0,0,0
6093,"6: noncore","Pacific",43895,5044,34244,621,1326,936,0,0,4,0,0,0,1,5
6095,"3: medium metro","Pacific",425753,107592,169259,59212,2463,67621,5,1,2,2,1,0,4,15
6097,"3: medium metro","Pacific",495078,127774,320545,7731,5746,20930,0,0,7,4,0,0,1,12
6099,"3: medium metro","Pacific",527367,230087,235880,14335,4183,32563,5,0,7,6,0,0,1,19
6101,"4: small metro","Pacific",95247,28261,46108,2049,1033,14332,0,1,4,0,0,0,0,5
6103,"5: micropolitan","Pacific",63152,14813,44291,321,1846,935,0,0,3,1,0,0,0,4
6105,"6: noncore","Pacific",13373,955,11096,151,457,310,0,0,2,0,0,0,0,2
6107,"3: medium metro","Pacific",454033,283533,139581,7846,6089,16042,0,0,5,13,0,0,0,18
6109,"5: micropolitan","Pacific",54079,6139,43995,991,924,858,0,0,1,0,0,0,0,1
6111,"3: medium metro","Pacific",840833,349799,395199,15063,6285,60970,1,0,10,2,0,0,1,14
6113,"2: large fringe metro","Pacific",207320,64526,100100,5409,1955,29345,0,0,2,3,0,0,0,5
6115,"4: small metro","Pacific",73437,19611,41676,2456,1147,5515,0,0,4,0,0,0,0,4
8001,"2: large fringe metro","Mountain",471206,182114,245330,15264,5229,18540,2,0,6,5,0,0,5,18
8003,"6: noncore","Mountain",16269,7427,8020,303,327,307,0,0,1,0,0,0,0,1
8005,"2: large fringe metro","Mountain",608310,113506,378452,62294,3432,33946,2,1,5,0,0,0,2,10
8007,"6: noncore","Mountain",12174,2251,9402,110,280,91,0,0,0,0,0,0,0,0
8009,"6: noncore","Mountain",3701,362,3203,44,46,6,0,0,0,0,0,0,0,0
8011,"6: noncore","Mountain",5895,1844,3292,545,172,44,0,0,0,0,0,0,0,0
8013,"3: medium metro","Mountain",310032,42487,243252,2803,1695,13588,0,1,8,0,0,0,0,9
8014,"2: large fringe metro","Mountain",60699,7225,47441,608,226,3644,0,0,1,0,0,0,0,1
8015,"6: noncore","Mountain",18309,1858,15637,367,205,51,0,0,1,0,0,0,0,1
8017,"6: noncore","Mountain",2002,258,1691,6,11,31,0,0,0,0,0,0,0,0
8019,"2: large fringe metro","Mountain",9136,507,8284,120,59,95,0,0,0,0,0,0,0,0
8021,"6: noncore","Mountain",8249,4484,3570,8,155,29,0,0,0,0,0,0,0,0
8023,"6: noncore","Mountain",3581,2306,1148,0,12,28,0,0,0,0,0,0,0,0
8025,"6: noncore","Mountain",5551,1674,3394,292,62,48,0,0,0,0,0,0,0,0
8027,"6: noncore","Mountain",4303,116,3940,135,56,3,0,0,0,0,0,0,0,0
8029,"6: noncore","Mountain",30214,4448,24796,290,185,208,0,0,1,0,0,0,0,1
8031,"1: large central metro","Mountain",649654,201019,344954,63058,7027,23950,1,0,7,12,0,1,2,23
8033,"6: noncore","Mountain",1862,110,1688,0,23,3,0,0,0,0,0,0,0,0
8035,"2: large fringe metro","Mountain",306974,25007,257929,3316,855,12630,0,0,2,0,0,0,0,2
8037,"5: micropolitan","Mountain",52576,15767,35237,347,301,590,0,0,0,1,0,0,0,1
8039,"2: large fringe metro","Mountain",23855,1468,21455,126,98,211,0,0,0,0,0,0,0,0
8041,"3: medium metro","Mountain",655024,104686,462443,39558,4185,20353,1,0,6,1,0,0,3,11
8043,"5: micropolitan","Mountain",46809,6080,36525,2451,759,348,0,0,2,0,0,0,0,2
8045,"5: micropolitan","Mountain",57076,16044,39222,498,487,421,0,0,1,0,0,0,0,1
8047,"2: large fringe metro","Mountain",5605,493,4945,29,4,8,0,0,0,0,0,0,0,0
8049,"6: noncore","Mountain",14411,889,12679,203,26,381,0,0,1,0,0,0,0,1
8051,"6: noncore","Mountain",15651,1404,13756,112,71,119,0,0,0,0,0,0,0,0
8053,"6: noncore","Mountain",874,11,849,0,0,0,0,0,0,0,0,0,0,0
8055,"6: noncore","Mountain",6502,2252,4172,44,426,12,0,0,0,0,0,0,0,0
8057,"6: noncore","Mountain",1335,206,1118,1,5,0,0,0,0,0,0,0,0,0
8059,"2: large fringe metro","Mountain",552344,83142,435423,6015,4816,14550,0,0,5,0,0,0,1,6
8061,"6: noncore","Mountain",1463,105,1273,12,5,1,0,0,0,0,0,0,0,0
8063,"6: noncore","Mountain",7980,1510,6055,334,20,38,0,0,0,0,0,0,0,0
8065,"6: noncore","Mountain",7362,2774,4388,5,16,65,0,0,0,0,0,0,0,0
8067,"5: micropolitan","Mountain",53182,6625,42314,202,2927,443,0,0,0,0,0,0,0,0
8069,"3: medium metro","Mountain",318227,34843,265802,2859,1817,6640,0,0,4,2,0,0,1,7
8071,"6: noncore","Mountain",14503,6146,7657,266,300,124,1,0,0,0,0,0,0,1
8073,"6: noncore","Mountain",5478,931,3783,611,88,5,0,0,0,0,0,0,0,0
8075,"5: micropolitan","Mountain",21928,3375,17215,317,264,475,0,0,0,0,0,0,0,0
8077,"4: small metro","Mountain",147834,20521,121445,1104,1169,1085,1,0,4,2,0,0,0,7
8079,"6: noncore","Mountain",733,79,644,6,0,0,0,0,0,0,0,0,0,0
8081,"5: micropolitan","Mountain",13117,1873,10777,64,289,214,0,0,1,0,0,0,0,1
8083,"6: noncore","Mountain",25700,3122,18901,95,2946,64,0,0,1,0,0,0,0,1
8085,"5: micropolitan","Mountain",40815,8243,31190,264,296,311,0,0,1,0,0,0,0,1
8087,"5: micropolitan","Mountain",28359,9913,17170,740,179,120,0,0,1,0,0,0,0,1
8089,"6: noncore","Mountain",18572,7647,10237,62,309,362,0,0,0,1,0,0,0,1
8091,"6: noncore","Mountain",4580,220,4256,0,7,38,0,0,0,0,0,0,0,0
