age,gender,race,city,state,county,year,fips
17,Male,African-American/Black,Indianapolis,IN,marion,2014,18097
17,Male,African-American/Black,Cincinnati,OH,hamilton,2014,39061
17,Male,Native American/Alaskan,Willow Creek,CA,humboldt,2014,6023
17,Female,European-American/White,Longview,TX,gregg,2015,48183
17,Female,Hispanic/Latino,Denver,CO,denver,2015,8031
17,Male,European-American/White,Bay City,MI,bay,2015,26017
17,Female,Hispanic/Latino,Santa Rosa,CA,sonoma,2015,6097
17,Male,European-American/White,Grand Ledge,MI,eaton,2015,26045
17,Male,African-American/Black,Roswell,GA,fulton,2015,13121
17,Male,African-American/Black,Zion,IL,lake,2015,17097
17,Male,European-American/White,Blue Springs,MO,jackson,2015,29095
17,Female,European-American/White,Kokomo,IN,howard,2015,18067
17,Male,European-American/White,Boulder Creek,CA,santa cruz,2015,6087
17,Male,European-American/White,Shady Point,OK,le flore,2015,40079
17,Male,Hispanic/Latino,Ontario,CA,san bernardino,2015,6071
17,Male,European-American/White,Iberia,OH,morrow,2015,39117
17,Female,Hispanic/Latino,San Antonio,TX,bexar,2015,48029
17,Female,Native American/Alaskan,French Camp,CA,san joaquin,2015,6077
17,Male,European-American/White,Fountain,CO,el paso,2015,8041
17,Female,European-American/White,Carrollton,GA,carroll,2015,13045
17,Male,Hispanic/Latino,Watertown,WI,jefferson,2015,55055
17,Male,European-American/White,Watertown,WI,jefferson,2015,55055
17,Male,African-American/Black,Austin,TX,travis,2016,48453
17,Male,Hispanic/Latino,Houston,TX,harris,2016,48201
17,Male,African-American/Black,Greenville,SC,greenville,2016,45045
17,Male,European-American/White,Carmichael,CA,sacramento,2016,6067
17,Female,European-American/White,Katy,TX,fort bend,2016,48157
17,Male,African-American/Black,Metairie,LA,jefferson,2016,22051
17,Male,African-American/Black,Oak Park,IL,cook,2016,17031
17,Male,European-American/White,Benton,AR,saline,2016,5125
17,Male,European-American/White,Phenix City,AL,russell,2016,1113
17,Male,African-American/Black,Villa Park,IL,cook,2017,17031
17,Female,African-American/Black,Yorkville,IL,kendall,2017,17093
17,Male,African-American/Black,Milwaukee,WI,milwaukee,2017,55079
17,Male,African-American/Black,Springhill,LA,webster,2017,22119
17,Male,African-American/Black,Des Moines,WA,king,2017,53033
17,Male,African-American/Black,Portland,OR,multnomah,2017,41051
17,Male,African-American/Black,Brooklyn,NY,kings,2017,36047
17,Male,Race unspecified,Kansas City,MO,NA,2015,29095
17,Male,Race unspecified,Kansas City,MO,NA,2015,29095
17,Female,European-American/White,Glendale,AZ,NA,2017,4013
17,Male,European-American/White,Chesapeake,OH,NA,2015,39087
17,Male,African-American/Black,Chicago,IL,NA,2013,17031
17,Male,Race unspecified,Huntsville,AL,NA,2013,1089
17,Male,European-American/White,Grand Junction,CO,NA,2015,8077
17,Male,Race unspecified,Los Angeles,CA,NA,2015,6037
17,Male,Race unspecified,Carmichael,CA,NA,2016,6067
17,Male,European-American/White,Stockton,CA,NA,2017,6077
17,Male,Race unspecified,Southfield,MI,NA,2013,26125
17,Male,European-American/White,Shenandoah,TX,NA,2016,48339
17,Male,European-American/White,Roan Mountain,TN,NA,2015,47019
17,Male,Race unspecified,Nashville,TN,NA,2015,47037
17,Male,Hispanic/Latino,Osceola,IN,NA,2014,18141
18,Male,African-American/Black,Dearborn Heights,MI,wayne,2013,26163
18,Male,European-American/White,Cushing,OK,payne,2013,40119
18,Male,Hispanic/Latino,Elkhorn,WI,walworth,2013,55127
18,Male,African-American/Black,South Lyon,MI,wayne,2013,26163
18,Male,Hispanic/Latino,Dallas,TX,dallas,2013,48113
18,Male,African-American/Black,Hanahan,SC,berkeley,2013,45015
18,Female,African-American/Black,Sanford,FL,seminole,2013,12117
18,Male,African-American/Black,Little Rock,AR,pulaski,2013,5119
18,Male,African-American/Black,Atascocita,TX,harris,2013,48201
18,Male,Hispanic/Latino,Hobart,IN,lake,2013,18089
18,Male,Hispanic/Latino,Los Angeles,CA,los angeles,2013,6037
18,Male,African-American/Black,Dunn,NC,harnett,2013,37085
18,Male,European-American/White,Buffalo,NY,erie,2013,36029
18,Male,African-American/Black,Round Rock,TX,williamson,2013,48491
18,Male,European-American/White,Geronimo,OK,comanche,2013,40031
18,Male,European-American/White,Epsom,NH,merrimack,2013,33013
18,Male,African-American/Black,Springfield,IL,sangamon,2013,17167
18,Male,Hispanic/Latino,Miami Beach,FL,miami-dade,2013,12086
18,Male,European-American/White,Mesquite,TX,dallas,2013,48113
18,Male,African-American/Black,St. Louis,MO,st. louis city,2013,29510
18,Male,European-American/White,Findlay,OH,hancock,2013,39063
18,Male,African-American/Black,Wilmington,NC,new hanover,2013,37129
18,Male,Hispanic/Latino,Los Angeles,CA,los angeles,2013,6037
18,Male,Native American/Alaskan,Clinton,OK,custer,2013,40039
18,Male,European-American/White,Boiling Spring Lakes,NC,brunswick,2014,37019
18,Male,Hispanic/Latino,Fresno,CA,fresno,2014,6019
18,Female,African-American/Black,Tarrant,AL,jefferson,2014,1073
18,Male,African-American/Black,Providence,RI,providence,2014,44007
18,Male,European-American/White,Warrensburg,MO,johnson,2014,29101
18,Male,Hispanic/Latino,Phoenix,AZ,maricopa,2014,4013
18,Male,Hispanic/Latino,Dublin,CA,alameda,2014,6001
18,Male,African-American/Black,Imperial,MO,jefferson,2014,29099
18,Female,Hispanic/Latino,Salt Lake City,UT,salt lake,2014,49035
18,Female,European-American/White,Onawa,IA,monona,2014,19133
18,Male,African-American/Black,Brooklyn,NY,kings,2014,36047
18,Male,African-American/Black,Tallahassee,FL,leon,2014,12073
18,Female,Hispanic/Latino,Half Moon Bay,CA,san mateo,2014,6081
18,Male,European-American/White,Kegley,WV,mercer,2014,54055
18,Male,African-American/Black,Greenville,MS,washington,2014,28151
18,Male,European-American/White,Amherst,VA,amherst,2014,51009
18,Male,Hispanic/Latino,Garland,TX,dallas,2014,48113
