GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,ADK5E001,ADK5E002,ADK5E003,ADK5E004,ADK5E005,ADK5E006,ADK5E007,ADK5E008,ADK5E009,ADK5E010,ADK5E011,ADK5E012,ADK5E013,ADK5E014,ADK5E015,ADK5E016,ADK5E017,ADK5E018,ADK5E019,ADK5E020,ADK5E021,NAME_M,ADK5M001,ADK5M002,ADK5M003,ADK5M004,ADK5M005,ADK5M006,ADK5M007,ADK5M008,ADK5M009,ADK5M010,ADK5M011,ADK5M012,ADK5M013,ADK5M014,ADK5M015,ADK5M016,ADK5M017,ADK5M018,ADK5M019,ADK5M020,ADK5M021
"G2601070","2011-2015",,,"Michigan","26","Mecosta County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mecosta County, Michigan",43301,42423,39691,1178,195,353,46,6,954,20,934,878,586,12,5,0,0,103,172,40,132,"Mecosta County, Michigan",0,0,17,119,55,111,38,7,169,17,168,0,89,15,7,21,21,54,93,25,91
"G2601090","2011-2015",,,"Michigan","26","Menominee County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Menominee County, Michigan",23717,23344,22213,63,467,48,0,5,548,2,546,373,252,0,29,0,0,9,83,51,32,"Menominee County, Michigan",0,0,3,26,53,19,18,9,67,3,67,0,39,18,24,18,18,9,32,29,23
"G2601110","2011-2015",,,"Michigan","26","Midland County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Midland County, Michigan",83624,81620,76855,1145,325,1949,26,282,1038,37,1001,2004,1463,10,40,0,23,229,239,108,131,"Midland County, Michigan",0,0,199,135,128,104,20,203,229,37,218,0,151,17,51,23,19,79,111,83,81
"G2601130","2011-2015",,,"Michigan","26","Missaukee County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Missaukee County, Michigan",14988,14616,14222,59,94,67,0,0,174,13,161,372,311,20,3,0,0,37,1,1,0,"Missaukee County, Michigan",0,0,5,24,18,24,16,16,43,14,41,0,42,21,5,16,16,32,3,3,16
"G2601150","2011-2015",,,"Michigan","26","Monroe County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Michigan",150436,145447,138288,3478,460,928,7,202,2084,17,2067,4989,4037,16,73,0,0,712,151,87,64,"Monroe County, Michigan",0,0,183,219,120,137,11,192,323,20,319,0,319,18,51,23,23,340,73,63,48
"G2601170","2011-2015",,,"Michigan","26","Montcalm County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montcalm County, Michigan",63004,60937,58045,1286,254,246,13,14,1079,79,1000,2067,1337,47,33,0,0,247,403,330,73,"Montcalm County, Michigan",0,0,37,118,71,53,19,14,169,51,157,0,183,40,34,23,23,74,138,140,71
"G2601190","2011-2015",,,"Michigan","26","Montmorency County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montmorency County, Michigan",9401,9287,9051,34,53,0,0,0,149,3,146,114,73,0,6,0,0,32,3,0,3,"Montmorency County, Michigan",0,0,4,36,34,14,14,14,36,4,36,0,23,14,7,14,14,24,3,14,3
"G2601210","2011-2015",,,"Michigan","26","Muskegon County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Muskegon County, Michigan",171483,162595,131944,23391,980,875,31,48,5326,62,5264,8888,6852,306,124,0,26,703,877,412,465,"Muskegon County, Michigan",0,0,51,507,212,161,27,43,566,41,564,0,385,157,110,23,24,174,274,160,228
"G2601230","2011-2015",,,"Michigan","26","Newaygo County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Newaygo County, Michigan",48029,45269,43526,650,299,151,0,75,568,13,555,2760,1754,11,41,0,0,753,201,121,80,"Newaygo County, Michigan",0,0,91,60,66,16,21,90,86,13,86,0,231,11,28,21,21,233,83,54,53
"G2601250","2011-2015",,,"Michigan","26","Oakland County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oakland County, Michigan",1229503,1183934,904261,169203,2558,76917,175,2238,28582,1302,27280,45569,33895,1503,754,156,19,5941,3301,1172,2129,"Oakland County, Michigan",0,0,402,1354,291,752,89,582,1519,328,1524,0,1205,422,314,83,23,758,599,351,442
"G2601270","2011-2015",,,"Michigan","26","Oceana County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oceana County, Michigan",26229,22492,21674,314,153,74,0,6,271,44,227,3737,3176,27,24,0,0,411,99,56,43,"Oceana County, Michigan",0,0,50,244,86,19,18,8,189,48,167,0,161,24,19,18,18,156,49,40,33
"G2601290","2011-2015",,,"Michigan","26","Ogemaw County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ogemaw County, Michigan",21222,20835,20256,66,171,119,0,0,223,0,223,387,287,0,23,0,0,55,22,13,9,"Ogemaw County, Michigan",0,0,18,28,42,6,18,18,49,18,49,0,46,18,24,18,18,35,18,17,11
"G2601310","2011-2015",,,"Michigan","26","Ontonagon County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ontonagon County, Michigan",6298,6231,6032,20,57,32,2,16,72,1,71,67,30,0,10,0,0,7,20,11,9,"Ontonagon County, Michigan",0,0,7,20,19,23,2,17,30,3,30,0,15,14,11,14,14,13,14,11,10
"G2601330","2011-2015",,,"Michigan","26","Osceola County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Osceola County, Michigan",23234,22869,22132,181,151,65,3,0,337,3,334,365,306,3,0,0,0,39,17,5,12,"Osceola County, Michigan",0,0,18,36,40,14,4,18,54,4,54,0,78,5,18,18,18,74,15,5,15
"G2601350","2011-2015",,,"Michigan","26","Oscoda County","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Oscoda County, Michigan",8444,8338,8109,37,56,7,12,20,97,0,97,106,55,0,0,0,0,3,48,2,46,"Oscoda County, Michigan",0,0,25,22,34,11,14,25,37,14,37,0,27,14,14,14,14,4,25,3,24
"G2601370","2011-2015",,,"Michigan","26","Otsego County","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Otsego County, Michigan",24141,23775,22925,85,188,151,0,0,426,18,408,366,204,7,4,0,0,92,59,7,52,"Otsego County, Michigan",0,0,20,32,37,94,18,18,103,20,107,0,74,15,7,18,18,69,42,10,43
"G2601390","2011-2015",,,"Michigan","26","Ottawa County","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ottawa County, Michigan",273136,247932,231373,3801,936,7565,5,143,4109,34,4075,25204,14656,665,336,78,0,7815,1654,1040,614,"Ottawa County, Michigan",0,0,92,325,200,245,9,89,457,27,457,0,1093,529,181,66,23,1122,411,261,300
"G2601410","2011-2015",,,"Michigan","26","Presque Isle County","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Presque Isle County, Michigan",13037,12899,12564,60,49,44,0,4,178,0,178,138,117,0,0,0,0,10,11,11,0,"Presque Isle County, Michigan",0,0,5,21,19,12,16,5,32,16,32,0,12,16,16,16,16,8,8,8,16
"G2601430","2011-2015",,,"Michigan","26","Roscommon County","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Roscommon County, Michigan",24068,23736,23011,48,273,66,0,3,335,0,335,332,293,0,0,0,0,19,20,12,8,"Roscommon County, Michigan",0,0,6,50,125,56,18,6,116,18,116,0,28,18,18,18,18,22,19,15,11
"G2601450","2011-2015",,,"Michigan","26","Saginaw County","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saginaw County, Michigan",196479,180617,137535,35577,400,2268,77,125,4635,88,4547,15862,10355,583,117,39,0,3193,1575,793,782,"Saginaw County, Michigan",0,0,99,820,124,193,88,93,850,70,845,0,489,209,59,39,23,460,315,212,246
"G2601470","2011-2015",,,"Michigan","26","St. Clair County","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Michigan",160429,155451,147039,3512,230,982,0,146,3542,90,3452,4978,3165,22,60,21,0,889,821,425,396,"St. Clair County, Michigan",0,0,113,284,86,111,23,111,307,45,307,0,351,30,36,18,23,235,325,195,258
"G2601490","2011-2015",,,"Michigan","26","St. Joseph County","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Joseph County, Michigan",61022,56632,53230,1683,174,375,3,44,1123,11,1112,4390,3001,4,34,12,0,1186,153,97,56,"St. Joseph County, Michigan",0,0,56,131,61,97,6,55,187,12,186,0,373,8,55,19,23,382,109,75,74
"G2601510","2011-2015",,,"Michigan","26","Sanilac County","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sanilac County, Michigan",42014,40489,39586,208,98,121,2,9,465,0,465,1525,1015,32,53,10,0,246,169,90,79,"Sanilac County, Michigan",0,0,13,45,34,45,3,13,73,21,73,0,138,47,49,9,21,111,73,62,56
"G2601530","2011-2015",,,"Michigan","26","Schoolcraft County","153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Schoolcraft County, Michigan",8288,8213,7150,41,489,122,0,7,404,2,402,75,54,0,4,0,0,8,9,9,0,"Schoolcraft County, Michigan",0,0,3,21,105,79,14,10,92,3,92,0,19,14,4,14,14,9,13,13,14
"G2601550","2011-2015",,,"Michigan","26","Shiawassee County","155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shiawassee County, Michigan",69113,67229,65296,317,285,299,11,58,963,14,949,1884,1604,0,28,0,20,139,93,43,50,"Shiawassee County, Michigan",0,0,69,107,82,82,19,72,153,16,148,0,132,23,24,23,33,105,63,40,48
"G2601570","2011-2015",,,"Michigan","26","Tuscola County","157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuscola County, Michigan",54420,52694,51058,593,163,172,0,7,701,11,690,1726,1451,32,5,0,0,184,54,23,31,"Tuscola County, Michigan",0,0,11,79,47,52,23,10,105,10,103,0,160,23,5,23,23,162,31,15,26
"G2601590","2011-2015",,,"Michigan","26","Van Buren County","159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Van Buren County, Michigan",75351,67156,61697,2626,480,436,7,50,1860,13,1847,8195,4499,97,11,0,0,2905,683,461,222,"Van Buren County, Michigan",0,0,52,223,122,56,12,50,256,14,256,0,476,59,11,23,23,427,208,175,107
"G2601610","2011-2015",,,"Michigan","26","Washtenaw County","161",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washtenaw County, Michigan",354092,338618,251417,42294,548,29800,78,865,13616,470,13146,15474,10835,456,404,79,47,2335,1318,504,814,"Washtenaw County, Michigan",0,0,223,680,154,535,47,286,891,140,895,0,625,209,244,52,51,529,350,174,301
"G2601630","2011-2015",,,"Michigan","26","Wayne County","163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wayne County, Michigan",1778969,1680277,886399,698192,5021,51529,246,3404,35486,1642,33844,98692,62548,2977,977,146,24,27351,4669,2936,1733,"Wayne County, Michigan",0,0,627,1475,388,831,117,729,1733,386,1686,0,1695,535,303,93,24,1676,633,573,295
"G2601650","2011-2015",,,"Michigan","26","Wexford County","165",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wexford County, Michigan",32751,32170,31101,183,197,205,4,4,476,1,475,581,414,28,13,0,0,28,98,27,71,"Wexford County, Michigan",0,0,7,35,54,38,6,4,75,4,75,0,73,30,15,21,21,22,57,30,52
"G2700010","2011-2015",,,"Minnesota","27","Aitkin County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aitkin County, Minnesota",15839,15661,14950,55,287,48,1,0,320,0,320,178,109,3,5,1,0,13,47,7,40,"Aitkin County, Minnesota",0,0,14,27,43,15,2,14,52,14,52,0,47,4,7,2,14,10,47,11,47
"G2700030","2011-2015",,,"Minnesota","27","Anoka County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anoka County, Minnesota",338764,325512,283909,16432,2024,13762,112,385,8888,146,8742,13252,6292,172,206,91,6,5354,1131,528,603,"Anoka County, Minnesota",0,0,245,603,302,414,43,241,757,77,756,0,755,98,102,73,9,847,331,189,247
"G2700050","2011-2015",,,"Minnesota","27","Becker County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Becker County, Minnesota",33138,32556,28778,166,2323,154,12,26,1097,5,1092,582,303,5,45,0,0,98,131,66,65,"Becker County, Minnesota",0,0,27,34,131,28,7,25,143,5,143,0,68,5,23,18,18,59,47,25,41
"G2700070","2011-2015",,,"Minnesota","27","Beltrami County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Beltrami County, Minnesota",45434,44565,33342,347,9080,394,44,19,1339,4,1335,869,320,25,333,2,3,100,86,15,71,"Beltrami County, Minnesota",0,0,27,86,269,32,35,26,288,8,288,0,100,40,155,2,5,61,66,16,60
"G2700090","2011-2015",,,"Minnesota","27","Benton County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Benton County, Minnesota",39221,38476,36353,912,135,444,0,14,618,11,607,745,638,0,7,0,0,32,68,5,63,"Benton County, Minnesota",0,0,22,166,56,65,18,15,199,17,191,0,75,18,9,18,18,33,59,7,57
"G2700110","2011-2015",,,"Minnesota","27","Big Stone County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Big Stone County, Minnesota",5134,5077,4987,10,11,4,0,0,65,0,65,57,46,0,0,0,0,6,5,0,5,"Big Stone County, Minnesota",0,0,12,11,16,6,12,12,22,12,22,0,13,12,12,12,12,9,10,12,10
"G2700130","2011-2015",,,"Minnesota","27","Blue Earth County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blue Earth County, Minnesota",65125,63205,58430,1977,229,1315,12,38,1204,2,1202,1920,1530,47,0,8,0,241,94,53,41,"Blue Earth County, Minnesota",0,0,46,198,53,148,18,46,236,2,236,0,123,51,20,11,20,100,57,42,31
"G2700150","2011-2015",,,"Minnesota","27","Brown County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brown County, Minnesota",25391,24440,23997,113,22,110,14,10,174,0,174,951,726,1,31,0,0,179,14,14,0,"Brown County, Minnesota",0,0,14,27,16,39,19,14,41,16,41,0,114,2,45,16,16,110,18,18,16
"G2700170","2011-2015",,,"Minnesota","27","Carlton County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carlton County, Minnesota",35443,34864,31387,423,1921,201,6,10,916,7,909,579,389,16,18,6,0,46,104,15,89,"Carlton County, Minnesota",0,0,5,106,173,62,9,14,227,9,228,0,65,22,20,8,18,38,45,17,42
"G2700190","2011-2015",,,"Minnesota","27","Carver County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Carver County, Minnesota",95715,91807,86114,1099,142,2414,46,54,1938,5,1933,3908,2946,38,6,0,37,527,354,270,84,"Carver County, Minnesota",0,0,46,190,66,218,52,46,292,11,293,0,306,44,7,20,56,180,176,168,77
"G2700210","2011-2015",,,"Minnesota","27","Cass County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cass County, Minnesota",28519,28054,24010,90,3034,142,7,15,756,0,756,465,286,13,120,0,0,21,25,10,15,"Cass County, Minnesota",0,0,3,20,96,27,10,18,101,16,101,0,60,15,57,16,16,17,17,13,12
"G2700230","2011-2015",,,"Minnesota","27","Chippewa County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chippewa County, Minnesota",12154,11464,10941,97,162,30,116,0,118,0,118,690,469,2,2,0,4,118,95,3,92,"Chippewa County, Minnesota",0,0,14,18,34,22,11,14,46,14,46,0,106,3,5,14,7,71,102,5,102
"G2700250","2011-2015",,,"Minnesota","27","Chisago County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chisago County, Minnesota",53834,52855,50697,618,240,407,4,0,889,13,876,979,693,8,11,0,0,241,26,11,15,"Chisago County, Minnesota",0,0,20,95,77,85,8,20,145,23,151,0,140,10,10,20,20,136,24,12,22
"G2700270","2011-2015",,,"Minnesota","27","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Minnesota",60879,58412,54616,1175,642,700,21,41,1217,33,1184,2467,1761,46,62,2,1,310,285,161,124,"Clay County, Minnesota",0,0,40,118,143,161,28,40,234,31,234,0,218,40,57,5,3,135,153,91,131
"G2700290","2011-2015",,,"Minnesota","27","Clearwater County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clearwater County, Minnesota",8752,8614,7507,22,745,37,8,1,294,3,291,138,87,0,15,0,0,3,33,29,4,"Clearwater County, Minnesota",0,0,3,26,62,8,7,2,63,3,62,0,17,12,8,12,12,3,17,16,6
"G2700310","2011-2015",,,"Minnesota","27","Cook County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cook County, Minnesota",5194,5105,4491,47,385,48,15,5,114,10,104,89,27,0,1,0,0,60,1,0,1,"Cook County, Minnesota",0,0,4,29,49,9,17,10,38,13,38,0,24,12,3,12,12,24,3,12,3
"G2700330","2011-2015",,,"Minnesota","27","Cottonwood County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cottonwood County, Minnesota",11632,10814,10196,65,58,318,4,0,173,0,173,818,372,7,2,0,0,432,5,0,5,"Cottonwood County, Minnesota",0,0,14,20,14,40,13,14,45,14,45,0,268,11,3,14,14,273,6,14,6
"G2700350","2011-2015",,,"Minnesota","27","Crow Wing County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crow Wing County, Minnesota",63048,62228,60194,401,669,317,0,9,638,2,636,820,666,2,46,0,0,33,73,30,43,"Crow Wing County, Minnesota",0,0,13,74,104,44,20,13,135,2,134,0,64,6,37,20,20,18,36,23,31
"G2700370","2011-2015",,,"Minnesota","27","Dakota County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dakota County, Minnesota",408456,382132,329985,20801,969,18609,27,705,11036,282,10754,26324,13657,507,279,38,24,10158,1661,844,817,"Dakota County, Minnesota",0,0,299,629,211,502,26,299,822,131,813,0,1121,260,160,44,26,1218,409,261,307
"G2700390","2011-2015",,,"Minnesota","27","Dodge County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dodge County, Minnesota",20290,19307,18877,109,30,90,0,0,201,0,201,983,856,0,1,6,0,73,47,19,28,"Dodge County, Minnesota",0,0,16,29,12,37,16,16,48,16,48,0,63,16,2,8,16,52,40,24,31
"G2700410","2011-2015",,,"Minnesota","27","Douglas County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Douglas County, Minnesota",36620,36131,35366,202,85,89,0,4,385,3,382,489,420,9,0,0,0,60,0,0,0,"Douglas County, Minnesota",0,0,4,32,28,46,18,5,68,4,67,0,75,11,18,18,18,72,18,18,18
"G2700430","2011-2015",,,"Minnesota","27","Faribault County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Faribault County, Minnesota",14230,13362,13102,49,31,59,0,2,119,3,116,868,795,2,4,0,0,55,12,12,0,"Faribault County, Minnesota",0,0,5,44,34,10,14,3,55,3,54,0,52,5,4,14,14,47,18,18,14
"G2700450","2011-2015",,,"Minnesota","27","Fillmore County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fillmore County, Minnesota",20843,20608,20286,83,22,81,3,5,128,0,128,235,195,2,0,0,0,36,2,0,2,"Fillmore County, Minnesota",0,0,4,16,14,25,4,4,29,16,29,0,45,3,16,16,16,45,4,16,4
"G2700470","2011-2015",,,"Minnesota","27","Freeborn County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Freeborn County, Minnesota",30897,28027,26950,344,68,371,12,48,234,33,201,2870,2441,5,26,33,0,284,81,28,53,"Freeborn County, Minnesota",0,0,72,27,48,67,19,56,101,36,96,0,135,5,29,53,18,106,60,33,52
"G2700490","2011-2015",,,"Minnesota","27","Goodhue County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Goodhue County, Minnesota",46377,44929,42994,516,509,265,0,0,645,0,645,1448,1143,0,2,0,0,130,173,129,44,"Goodhue County, Minnesota",0,0,18,109,103,66,18,18,159,18,159,0,146,18,3,18,18,84,95,73,41
"G2700510","2011-2015",,,"Minnesota","27","Grant County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Grant County, Minnesota",5961,5856,5736,0,33,18,0,3,66,2,64,105,78,0,0,0,0,19,8,8,0,"Grant County, Minnesota",0,0,5,12,15,13,12,4,14,4,13,0,16,12,12,12,12,14,8,8,12
"G2700530","2011-2015",,,"Minnesota","27","Hennepin County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hennepin County, Minnesota",1197776,1116057,843413,143509,7068,80741,409,3203,37714,1310,36404,81719,46221,2209,1205,665,66,27102,4251,2024,2227,"Hennepin County, Minnesota",0,0,485,1583,580,799,109,523,1782,380,1762,0,2174,493,376,256,55,1964,619,363,432
"G2700550","2011-2015",,,"Minnesota","27","Houston County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Houston County, Minnesota",18812,18660,18187,55,54,42,0,11,311,0,311,152,107,2,0,0,0,18,25,0,25,"Houston County, Minnesota",0,0,9,24,17,25,14,9,39,14,39,0,34,3,14,14,14,15,30,14,30
"G2700570","2011-2015",,,"Minnesota","27","Hubbard County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hubbard County, Minnesota",20574,20211,19243,110,405,107,5,0,341,0,341,363,205,4,7,5,0,87,55,7,48,"Hubbard County, Minnesota",0,0,16,34,55,8,7,16,69,16,69,0,48,5,13,6,16,41,57,9,56
"G2700590","2011-2015",,,"Minnesota","27","Isanti County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Isanti County, Minnesota",38296,37621,36195,212,213,285,0,45,671,16,655,675,479,11,40,0,0,114,31,6,25,"Isanti County, Minnesota",0,0,69,67,64,72,18,64,129,17,125,0,110,17,56,18,18,79,32,10,30
"G2700610","2011-2015",,,"Minnesota","27","Itasca County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Itasca County, Minnesota",45354,44799,41852,213,1474,177,29,0,1054,26,1028,555,354,9,4,0,0,124,64,37,27,"Itasca County, Minnesota",0,0,40,69,138,52,34,18,178,40,168,0,79,11,5,18,18,56,43,28,26
"G2700630","2011-2015",,,"Minnesota","27","Jackson County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Minnesota",10211,9881,9546,20,9,253,0,0,53,0,53,330,190,0,0,0,2,131,7,3,4,"Jackson County, Minnesota",0,0,14,19,9,46,14,14,41,14,41,0,41,14,14,14,3,41,7,4,4
"G2700650","2011-2015",,,"Minnesota","27","Kanabec County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kanabec County, Minnesota",16003,15742,15256,69,158,53,0,0,206,4,202,261,233,0,0,0,0,22,6,2,4,"Kanabec County, Minnesota",0,0,5,29,29,35,14,14,56,5,56,0,21,14,14,14,14,19,5,4,4
"G2700670","2011-2015",,,"Minnesota","27","Kandiyohi County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kandiyohi County, Minnesota",42444,37535,35506,1202,122,251,0,3,451,0,451,4909,2875,36,115,26,0,1706,151,74,77,"Kandiyohi County, Minnesota",0,0,6,190,55,34,18,6,201,18,201,0,527,55,125,29,18,478,85,50,72
"G2700690","2011-2015",,,"Minnesota","27","Kittson County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kittson County, Minnesota",4480,4393,4319,26,7,9,0,3,29,3,26,87,76,1,0,0,0,1,9,3,6,"Kittson County, Minnesota",0,0,5,20,4,5,9,4,19,3,21,0,15,2,9,9,9,3,14,4,14
"G2700710","2011-2015",,,"Minnesota","27","Koochiching County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Koochiching County, Minnesota",13054,13044,12227,114,428,84,0,0,191,0,191,10,7,1,0,0,0,2,0,0,0,"Koochiching County, Minnesota",0,26,14,69,70,65,14,14,66,14,66,26,8,12,14,14,14,14,14,14,14
"G2700730","2011-2015",,,"Minnesota","27","Lac qui Parle County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lac qui Parle County, Minnesota",7023,6903,6742,44,25,43,0,0,49,2,47,120,67,0,0,14,0,9,30,22,8,"Lac qui Parle County, Minnesota",0,24,4,5,8,18,12,12,21,4,22,24,27,12,12,13,12,8,17,16,7
"G2700750","2011-2015",,,"Minnesota","27","Lake County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake County, Minnesota",10750,10616,10348,12,20,0,8,0,228,0,228,134,83,0,0,0,0,48,3,3,0,"Lake County, Minnesota",0,0,14,15,18,14,14,14,26,14,26,0,38,14,14,14,14,39,7,7,14
"G2700770","2011-2015",,,"Minnesota","27","Lake of the Woods County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake of the Woods County, Minnesota",3949,3910,3723,23,18,36,0,0,110,0,110,39,0,0,0,0,0,0,39,36,3,"Lake of the Woods County, Minnesota",0,47,9,30,19,36,9,9,46,9,46,47,9,9,9,9,9,9,47,48,6
"G2700790","2011-2015",,,"Minnesota","27","Le Sueur County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Le Sueur County, Minnesota",27707,26165,25460,140,104,134,0,19,308,2,306,1542,963,24,0,0,0,520,35,26,9,"Le Sueur County, Minnesota",0,0,20,60,39,41,16,20,92,3,92,0,197,50,16,16,16,195,26,23,10
"G2700810","2011-2015",,,"Minnesota","27","Lincoln County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lincoln County, Minnesota",5808,5707,5630,22,21,9,0,0,25,0,25,101,16,0,17,0,0,66,2,2,0,"Lincoln County, Minnesota",0,0,12,17,9,6,12,12,12,12,12,0,13,12,14,12,12,14,3,3,12
"G2700830","2011-2015",,,"Minnesota","27","Lyon County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lyon County, Minnesota",25699,24092,22245,729,137,847,0,0,134,0,134,1607,801,23,23,9,0,730,21,0,21,"Lyon County, Minnesota",0,0,16,30,24,52,16,16,64,16,64,0,203,27,28,17,16,191,32,16,32
"G2700850","2011-2015",,,"Minnesota","27","McLeod County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"McLeod County, Minnesota",36046,34146,33312,135,87,224,0,2,386,0,386,1900,1257,0,5,0,0,525,113,2,111,"McLeod County, Minnesota",0,0,3,72,68,42,18,3,112,18,112,0,269,18,8,18,18,271,109,2,109
"G2700870","2011-2015",,,"Minnesota","27","Mahnomen County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mahnomen County, Minnesota",5496,5335,2628,30,2153,24,20,27,453,1,452,161,52,1,73,0,0,12,23,19,4,"Mahnomen County, Minnesota",0,0,28,18,70,5,18,28,76,2,76,0,17,2,18,12,12,10,11,11,5
"G2700890","2011-2015",,,"Minnesota","27","Marshall County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Minnesota",9453,9072,8888,25,34,18,3,0,104,0,104,381,335,0,0,0,0,31,15,4,11,"Marshall County, Minnesota",0,0,12,15,18,8,4,12,21,12,21,0,24,12,12,12,12,21,7,5,6
"G2700910","2011-2015",,,"Minnesota","27","Martin County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Martin County, Minnesota",20350,19552,19138,66,37,110,0,0,201,0,201,798,719,5,1,0,0,54,19,2,17,"Martin County, Minnesota",0,0,16,42,28,46,16,16,69,16,69,0,76,8,2,16,16,62,22,6,19
