GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,ADK5E001,ADK5E002,ADK5E003,ADK5E004,ADK5E005,ADK5E006,ADK5E007,ADK5E008,ADK5E009,ADK5E010,ADK5E011,ADK5E012,ADK5E013,ADK5E014,ADK5E015,ADK5E016,ADK5E017,ADK5E018,ADK5E019,ADK5E020,ADK5E021,NAME_M,ADK5M001,ADK5M002,ADK5M003,ADK5M004,ADK5M005,ADK5M006,ADK5M007,ADK5M008,ADK5M009,ADK5M010,ADK5M011,ADK5M012,ADK5M013,ADK5M014,ADK5M015,ADK5M016,ADK5M017,ADK5M018,ADK5M019,ADK5M020,ADK5M021
"G4200350","2011-2015",,,"Pennsylvania","42","Clinton County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clinton County, Pennsylvania",39614,39086,37786,547,43,209,12,3,486,36,450,528,328,47,27,0,1,52,73,30,43,"Clinton County, Pennsylvania",0,0,7,90,33,60,14,7,109,36,107,0,51,29,24,21,3,35,39,24,34
"G4200370","2011-2015",,,"Pennsylvania","42","Columbia County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia County, Pennsylvania",66912,65268,62661,1216,99,794,12,12,474,18,456,1644,1202,40,4,0,0,310,88,88,0,"Columbia County, Pennsylvania",0,0,35,160,66,28,19,13,167,30,167,0,219,55,5,23,23,217,76,76,23
"G4200390","2011-2015",,,"Pennsylvania","42","Crawford County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crawford County, Pennsylvania",87343,86326,83136,1545,45,414,7,27,1152,41,1111,1017,533,83,12,24,0,156,209,148,61,"Crawford County, Pennsylvania",0,0,29,139,23,61,11,15,160,32,161,0,117,40,20,37,23,59,96,104,36
"G4200410","2011-2015",,,"Pennsylvania","42","Cumberland County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cumberland County, Pennsylvania",241427,233583,212171,8027,197,8117,11,190,4870,213,4657,7844,4238,213,5,0,0,2448,940,585,355,"Cumberland County, Pennsylvania",0,0,130,395,94,371,14,113,576,147,597,0,415,80,10,23,23,433,279,250,207
"G4200430","2011-2015",,,"Pennsylvania","42","Dauphin County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dauphin County, Pennsylvania",271094,249497,185458,46997,299,9509,74,444,6716,287,6429,21597,9992,1803,266,60,0,7398,2078,827,1251,"Dauphin County, Pennsylvania",0,0,285,601,104,418,46,327,777,209,724,0,1023,463,225,45,23,1041,448,285,393
"G4200450","2011-2015",,,"Pennsylvania","42","Delaware County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Delaware County, Pennsylvania",561683,542610,388429,113923,502,28364,89,890,10413,592,9821,19073,10060,2721,234,80,0,4730,1248,683,565,"Delaware County, Pennsylvania",0,0,252,718,152,504,56,348,913,231,884,0,804,503,132,47,23,766,340,243,217
"G4200470","2011-2015",,,"Pennsylvania","42","Elk County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elk County, Pennsylvania",31370,31147,30619,144,71,132,0,52,129,0,129,223,165,15,0,0,0,30,13,0,13,"Elk County, Pennsylvania",0,0,71,60,25,23,21,71,67,21,67,0,38,25,21,21,21,36,18,21,18
"G4200490","2011-2015",,,"Pennsylvania","42","Erie County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Erie County, Pennsylvania",279858,269286,239185,18730,596,3961,80,284,6450,266,6184,10572,5760,1047,192,22,11,2161,1379,607,772,"Erie County, Pennsylvania",0,0,208,493,111,199,19,157,544,176,518,0,515,325,139,30,17,354,256,154,226
"G4200510","2011-2015",,,"Pennsylvania","42","Fayette County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Pennsylvania",134851,133501,124606,5457,112,265,243,36,2782,28,2754,1350,702,106,3,0,16,328,195,114,81,"Fayette County, Pennsylvania",0,0,33,425,60,104,306,26,340,25,336,0,156,56,6,23,24,109,97,96,49
"G4200530","2011-2015",,,"Pennsylvania","42","Forest County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Forest County, Pennsylvania",7581,7094,4862,2027,20,52,0,0,133,22,111,487,144,44,19,0,0,210,70,49,21,"Forest County, Pennsylvania",0,82,208,221,27,28,14,14,58,20,54,82,64,32,15,14,14,64,38,38,18
